Esperanto,Lowercase Esperanto,Trimmed,Esperanto Length
B ,b ,b,1
e ,e ,e,1
G ,g ,g,1
k ,k ,k,1
o ,o ,o,1
-e ,-e ,-e,2
-i ,-i ,-i,2
-j ,-j ,-j,2
-n ,-n ,-n,2
-o ,-o ,-o,2
-u ,-u ,-u,2
aĥ ,aĥ ,aĥ,2
aj ,aj ,aj,2
al ,al ,al,2
aŭ ,aŭ ,aŭ,2
ba ,ba ,ba,2
bo ,bo ,bo,2
ĉ. ,ĉ. ,ĉ.,2
ĉe ,ĉe ,ĉe,2
ci ,ci ,ci,2
ĉi ,ĉi ,ĉi,2
co ,co ,co,2
ĉo ,ĉo ,ĉo,2
ĉu ,ĉu ,ĉu,2
da ,da ,da,2
de ,de ,de,2
do ,do ,do,2
du ,du ,du,2
eĉ ,eĉ ,eĉ,2
ek ,ek ,ek,2
el ,el ,el,2
en ,en ,en,2
fi ,fi ,fi,2
FK ,fk ,fk,2
fo ,fo ,fo,2
ĝi ,ĝi ,ĝi,2
go ,go ,go,2
ĝo ,ĝo ,ĝo,2
he ,he ,he,2
ĥo ,ĥo ,ĥo,2
hu ,hu ,hu,2
ia ,ia ,ia,2
ie ,ie ,ie,2
io ,io ,io,2
IP ,ip ,ip,2
iu ,iu ,iu,2
j. ,j. ,j.,2
ja ,ja ,ja,2
je ,je ,je,2
jo ,jo ,jo,2
ĵo ,ĵo ,ĵo,2
KD ,kd ,kd,2
KE ,ke ,ke,2
ke ,ke ,ke,2
ko ,ko ,ko,2
la ,la ,la,2
li ,li ,li,2
lo ,lo ,lo,2
MA ,ma ,ma,2
mi ,mi ,mi,2
mo ,mo ,mo,2
ne ,ne ,ne,2
ni ,ni ,ni,2
no ,no ,no,2
nu ,nu ,nu,2
ok ,ok ,ok,2
ol ,ol ,ol,2
p. ,p. ,p.,2
pĝ ,pĝ ,pĝ,2
po ,po ,po,2
ri ,ri ,ri,2
ro ,ro ,ro,2
se ,se ,se,2
si ,si ,si,2
ŝi ,ŝi ,ŝi,2
so ,so ,so,2
ŝo ,ŝo ,ŝo,2
to ,to ,to,2
ŭa ,ŭa ,ŭa,2
UN ,un ,un,2
ŭo ,ŭo ,ŭo,2
v. ,v. ,v.,2
VD ,vd ,vd,2
ve ,ve ,ve,2
vi ,vi ,vi,2
vo ,vo ,vo,2
zo ,zo ,zo,2
-is ,-is ,-is,3
-oj ,-oj ,-oj,3
-os ,-os ,-os,3
-us ,-us ,-us,3
aĉa ,aĉa ,aĉa,3
aĉe ,aĉe ,aĉe,3
aĉi ,aĉi ,aĉi,3
Ada ,ada ,ada,3
ada ,ada ,ada,3
AdE ,ade ,ade,3
ade ,ade ,ade,3
adi ,adi ,adi,3
aga ,aga ,aga,3
aĝa ,aĝa ,aĝa,3
agi ,agi ,agi,3
aĝi ,aĝi ,aĝi,3
ago ,ago ,ago,3
aĝo ,aĝo ,aĝo,3
aha ,aha ,aha,3
aĥi ,aĥi ,aĥi,3
Aja ,aja ,aja,3
aji ,aji ,aji,3
ajn ,ajn ,ajn,3
aĵo ,aĵo ,aĵo,3
Ak. ,ak. ,ak.,3
aKE ,ake ,ake,3
akk ,akk ,akk,3
ala ,ala ,ala,3
alo ,alo ,alo,3
ama ,ama ,ama,3
ame ,ame ,ame,3
ami ,ami ,ami,3
amo ,amo ,amo,3
amu ,amu ,amu,3
ano ,ano ,ano,3
are ,are ,are,3
